,Suite,Tempo do Imóvel,academia,area_total,area_util,bairro,banheiros,churrasqueira,condominio,elevador,iptu,piscina,preco,quartos,salao_festa,tipo,vagas,Bairro
139,,,0,61,,Osvaldo Cruz,1,1,600.0,1,,0,510000,2,1,2,1,
140,,,0,76,,Santa Maria,3,1,385.0,1,,1,4199000,2,0,2,3,
141,,,0,79,,Boa Vista,1,0,561.0,1,,0,700000,3,0,2,1,
142,,,0,55,,Olímpico,2,1,14.0,1,,1,2969000,2,1,2,2,
143,,,0,174,,Santa Paula,1,1,775.0,1,,1,990000,3,1,2,1,
144,,,1,65,,Boa Vista,2,0,450.0,1,,0,365000,2,1,2,2,
145,,,0,90,,Olímpico,2,1,738.0,1,,1,850000,2,1,2,2,
146,,,0,90,,Santa Paula,1,0,395.0,1,,0,650000,3,0,2,1,
147,,,0,180,,Santa Paula,2,1,410.0,1,,1,1200000,3,1,2,2,
148,,,0,67,,Santa Maria,1,1,447.0,1,,1,240000,3,1,2,1,
149,,,1,65,,Barcelona,2,1,482.0,1,,0,435000,2,1,2,2,
150,,,0,70,,Olímpico,1,0,478.0,1,,1,395000,2,1,2,1,
151,,,1,75,,Santa Maria,2,1,351.0,0,,0,460000,2,0,2,2,
152,,,0,160,,Santa Maria,2,1,568.0,1,,1,7499000,3,1,2,2,
153,,,1,84,,Santa Paula, -- ,0,430.0,1,,0,750000,3,1,2, -- ,
154,,,0,140,,Nova Gerty,2,1,535.0,1,,1,500000,2,1,2,2,
155,,,1,56,,Cerâmica,1,0,105.0,0,,1,459000,2,1,2,1,
156,,,0,68,,Cerâmica,3,1,500.0,1,,1,720000,2,1,2,3,
157,,,1,64,,Santa Maria,1,1,520.0,1,,0,390000,2,1,2,1,
158,,,0,65,,Cerâmica,2,1,19.0,1,,1,430000,2,1,2,2,
159,,,0,80,,Jardim Sao Caetano,2,0,150.0,0,,0,495000,3,0,2,2,
160,,,1,264,,Olímpico,3,0,511.0,0,,1,1980000,3,1,2,3,
161,,,1,113,,Santo Antônio,3,1,515.0,0,,1,1130000,2,1,2,3,
162,,,0,61,,Fundação,6,0,508.0,1,,0,331000,2,1,2,6,
163,,,0,90,,Cerâmica,4,1,550.0,1,,1,990000,2,1,2,4,
164,,,0,106,,Santa Paula,2,0,1.0,1,,0,550000,3,1,2,2,
165,,,0,68,,Cerâmica,2,1,450.0,1,,1,6498000,2,1,2,2,
