area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,bairro_Barcelona,bairro_Boa_Vista,bairro_Centro,bairro_Ceramica,bairro_Fundacao,bairro_Jardim_Sao_Caetano,bairro_Maua,bairro_Nova_Gerty,bairro_Olimpico,bairro_Osvaldo_Cruz,bairro_Santa_Maria,bairro_Santa_Paula,bairro_Santo_Antonio,preco
-0.61291719864967,0.6666666666666667,0.2,0.2,1,1,1,1,0,-0.08321623761826229,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,-1.855802369531084,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,0.09583286661535603,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,1,0,1,1,0,0.3196442469073789,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,0,1,-0.5756012742607126,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-1.3995651243594205,0.0,1.0000000000000002,1.0000000000000002,0,0,0,0,0,0.6240277241045301,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.0,0.0,0,0,1,1,1,0.47631221311179495,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.0,0.0,0,1,1,1,1,-1.855802369531084,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,1,1,0,1,1,-0.3473136663628493,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.0,0.0,1,0,0,1,1,0.6240277241045301,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,0,0,1,0,0,1.3849864170974078,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,1,1,1,1,0,0.3196442469073789,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
-1.3995651243594205,0.0,0.2,0.2,0,0,1,0,0,-1.2470354151367813,0,0,0,0,0,0,0,1,0,0,0,0,0,319000
