bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
Nova Gerty,40,0.0,0.6000000000000001,0.6000000000000001,0,1,1,1,1,550.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,1,1,1,1,568.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,1,1,1,1,19.0,319000
Nova Gerty,40,0.0,0.2,0.2,1,0,0,1,1,500.0,319000
Nova Gerty,40,0.0,0.2,0.2,1,1,0,1,1,600.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,1,1,1,1,561.0,319000
Nova Gerty,40,0.0,0.0,0.0,1,0,0,1,1,520.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,0,1,1,0,561.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,1,1,0,1,385.0,319000
Nova Gerty,40,0.0,0.4000000000000001,0.4000000000000001,0,0,0,0,0,351.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,0,1,0,0,105.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,1,1,0,1,482.0,319000
Nova Gerty,40,0.0,0.2,0.2,1,1,1,1,0,568.0,319000
Nova Gerty,66,0.3333333333333333,0.2,0.0,0,0,0,0,0,262.0,320000
Boa Vista,69,0.3333333333333333,0.2,0.0,0,0,1,0,0,280.0,320000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,1,1,1,1,0,568.0,331000
Fundacao,61,0.3333333333333333,0.6000000000000001,0.6000000000000001,0,1,1,1,1,1.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,1.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,0,1,450.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,0,1,600.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,1,1,1,0,410.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,300.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,0,1,515.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,1,1,478.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,1,1,0,0,0,447.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,0,0,1,1,385.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,1,0,1,1,0,410.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,0,0,1,1,550.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,1,1,105.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,430.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,738.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,410.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,430.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,1,1,0,1,478.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,385.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,1,0,0,0,150.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,1,1,1,0,478.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,1,1,1,1,600.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,1,0,0,0,447.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,511.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,0,1,1,0,19.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,0,1,1,0,508.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,0,1,19.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,0,0,1,1,0,511.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,1,0,1,1,0,430.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,0,1,1,0,447.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,0,1,1,0,878.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,447.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,1,1,520.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,0,1,1,0,561.0,331000
Fundacao,61,0.3333333333333333,1.0000000000000002,1.0000000000000002,0,1,1,1,1,520.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,0,0,0,0,520.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,1,1,0,1,1,568.0,331000
Fundacao,61,0.3333333333333333,0.2,0.2,0,1,1,0,1,520.0,331000
Fundacao,61,0.3333333333333333,0.4000000000000001,0.4000000000000001,0,0,1,1,1,535.0,331000
Fundacao,61,0.3333333333333333,1.0000000000000002,1.0000000000000002,0,1,1,0,1,568.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,1,0,1,1,0,105.0,331000
Fundacao,61,0.3333333333333333,0.0,0.0,1,1,0,0,0,775.0,331000
