,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
135,2,Barcelona,88,3,3,3,0,1,1,1,1,515.0,450000
136,2,Santo Antônio,62,2,1,1,1,1,1,1,0,508.0,475000
137,2,Mauá,79,3,2,2,1,1,1,1,0,550.0,495000
138,2,Centro,150,4,2,2,0,1,1,0,1,1.0,630000
139,2,Osvaldo Cruz,61,2,1,1,0,1,1,1,0,600.0,510000
140,2,Santa Maria,76,2,3,3,0,1,1,0,1,385.0,4199000
141,2,Boa Vista,79,3,1,1,0,0,1,0,0,561.0,700000
142,2,Olímpico,55,2,2,2,0,1,1,1,1,14.0,2969000
143,2,Santa Paula,174,3,1,1,0,1,1,1,1,775.0,990000
144,2,Boa Vista,65,2,2,2,1,0,1,1,0,450.0,365000
145,2,Olímpico,90,2,2,2,0,1,1,1,1,738.0,850000
146,2,Santa Paula,90,3,1,1,0,0,1,0,0,395.0,650000
147,2,Santa Paula,180,3,2,2,0,1,1,1,1,410.0,1200000
148,2,Santa Maria,67,3,1,1,0,1,1,1,1,447.0,240000
149,2,Barcelona,65,2,2,2,1,1,1,1,0,482.0,435000
150,2,Olímpico,70,2,1,1,0,0,1,1,1,478.0,395000
151,2,Santa Maria,75,2,2,2,1,1,0,0,0,351.0,460000
152,2,Santa Maria,160,3,2,2,0,1,1,1,1,568.0,7499000
153,2,Santa Paula,84,3, -- , -- ,1,0,1,1,0,430.0,750000
154,2,Nova Gerty,140,2,2,2,0,1,1,1,1,535.0,500000
155,2,Cerâmica,56,2,1,1,1,0,0,1,1,105.0,459000
156,2,Cerâmica,68,2,3,3,0,1,1,1,1,500.0,720000
157,2,Santa Maria,64,2,1,1,1,1,1,1,0,520.0,390000
158,2,Cerâmica,65,2,2,2,0,1,1,1,1,19.0,430000
159,2,Jardim Sao Caetano,80,3,2,2,0,0,0,0,0,150.0,495000
160,2,Olímpico,264,3,3,3,1,0,0,1,1,511.0,1980000
161,2,Santo Antônio,113,2,3,3,1,1,0,1,1,515.0,1130000
162,2,Fundação,61,2,6,6,0,0,1,1,0,508.0,331000
163,2,Cerâmica,90,2,4,4,0,1,1,1,1,550.0,990000
164,2,Santa Paula,106,3,2,2,0,0,1,1,0,1.0,550000
165,2,Cerâmica,68,2,2,2,0,1,1,1,1,450.0,6498000
166,2,Barcelona,68,2,4,4,1,1,1,1,0,600.0,450000
167,2,Barcelona,67,2,2,2,1,1,1,1,0,385.0,455000
168,2,Barcelona,88,3,2,2,0,1,1,0,1,561.0,450000
169,2,Santo Antônio,62,2, -- , -- ,0,1,1,1,1,14.0,475000
170,2,Mauá,79,3,1,1,0,1,1,1,0,775.0,495000
171,2,Centro,150,4,1,1,0,1,1,0,1,450.0,630000
172,2,Osvaldo Cruz,61,2,2,2,0,1,1,1,1,738.0,510000
173,2,Santa Maria,76,2,3,3,0,1,1,1,1,395.0,4199000
174,2,Boa Vista,79,3,2,2,1,0,1,1,0,410.0,700000
175,2,Olímpico,55,2,3,3,0,1,1,1,1,447.0,2969000
176,2,Santa Paula,174,3,1,1,0,1,1,1,1,482.0,990000
177,2,Boa Vista,65,2,4,4,0,0,1,0,0,478.0,365000
178,2,Olímpico,90,2,2,2,0,1,1,1,1,351.0,850000
179,2,Santa Paula,90,3,1,1,1,1,1,1,0,568.0,650000
180,2,Santa Paula,180,3,2,2,0,0,1,1,1,430.0,1200000
181,2,Santa Maria,67,3,2,2,0,1,1,1,1,535.0,240000
182,2,Barcelona,65,2,2,2,1,1,0,0,0,105.0,435000
183,2,Olímpico,70,2,1,1,0,1,1,1,1,500.0,395000
184,2,Santa Maria,75,2,1,1,0,1,1,1,1,19.0,460000
185,2,Santa Maria,160,3,2,2,1,0,0,1,1,150.0,7499000
186,2,Santa Paula,84,3,1,1,0,1,1,1,1,511.0,750000
187,2,Nova Gerty,140,2,2,2,1,1,1,1,0,515.0,500000
188,2,Cerâmica,56,2,2,2,0,1,1,1,1,508.0,459000
189,2,Cerâmica,68,2,3,3,0,0,0,0,0,550.0,720000
190,2,Santa Maria,64,2,1,1,1,0,0,1,1,1.0,390000
